"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"路口交岔撞","2019",1,4,13,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","不良","無號誌","無","未繪設快慢車道分隔線","有",49,"未使用",120.511796,22.610478,"屏東縣","竹田鄉"
"追撞","2019",1,4,16,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",52,"未使用",120.448207,23.874717,"彰化縣","埤頭鄉"
"追撞","2019",1,4,16,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",74,"非汽(機)車駕駛人",120.448207,23.874717,"彰化縣","埤頭鄉"
"其他","2019",1,4,17,"晴","晨或暮光",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",30,"未使用",121.490823,25.090759,"新北市","三重區"
"其他","2019",1,4,17,"晴","晨或暮光",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",17,"未使用",121.490823,25.090759,"新北市","三重區"
"同向擦撞","2019",1,4,18,"陰","夜間(或隧道、地下道、涵洞)無照明",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",49,"未使用",120.49126,24.12367,"彰化縣","和美鎮"
"同向擦撞","2019",1,4,18,"陰","夜間(或隧道、地下道、涵洞)無照明",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",54,"未使用",120.49126,24.12367,"彰化縣","和美鎮"
"倒車撞","2019",1,5,4,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","無",66,"不明",120.313541,22.680332,"高雄市","左營區"
"倒車撞","2019",1,5,4,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","無",46,"不明",120.313541,22.680332,"高雄市","左營區"
"倒車撞","2019",1,5,4,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","無",29,"未使用",120.313541,22.680332,"高雄市","左營區"
"其他","2019",1,5,9,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",49,"未使用",121.484635,25.076559,"新北市","三重區"
"其他","2019",1,5,9,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",78,"非汽(機)車駕駛人",121.484635,25.076559,"新北市","三重區"
"衝出路外","2019",1,5,15,"晴","日間自然光線",40,"彎曲路及附近","路肩、路緣","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",39,"非汽(機)車駕駛人",120.688592,23.605456,"雲林縣","古坑鄉"
"其他","2019",1,5,19,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",56,"不明",120.939624,24.838828,"新竹市","北區"
"其他","2019",1,5,19,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",50,"不明",120.939624,24.838828,"新竹市","北區"
"其他","2019",1,5,19,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",43,"不明",120.939624,24.838828,"新竹市","北區"
"衝出路外","2019",1,6,3,"雨","夜間(或隧道、地下道、涵洞)無照明",100,"直路","快車道","柏油","濕潤","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",42,"不明",121.679068,25.085872,"基隆市","七堵區"
"衝出路外","2019",1,6,3,"雨","夜間(或隧道、地下道、涵洞)無照明",100,"直路","快車道","柏油","濕潤","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",19,"未使用",121.679068,25.085872,"基隆市","七堵區"
"其他","2019",1,6,3,"晴","晨或暮光",40,"直路","慢車道","柏油","乾燥","良好","無號誌","單向禁止超車線","快慢車道分隔線","無",107,"",120.3695,22.53465,"高雄市","小港區"
"其他","2019",1,6,3,"晴","晨或暮光",40,"直路","慢車道","柏油","乾燥","良好","無號誌","單向禁止超車線","快慢車道分隔線","無",28,"未使用",120.3695,22.53465,"高雄市","小港區"
"追撞","2019",1,6,14,"晴","日間自然光線",40,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","無",23,"未使用",120.623173,24.150062,"臺中市","南屯區"
"追撞","2019",1,6,14,"晴","日間自然光線",40,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","無",22,"非汽(機)車駕駛人",120.623173,24.150062,"臺中市","南屯區"
"追撞","2019",1,6,14,"晴","日間自然光線",40,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","無",55,"未使用",120.623173,24.150062,"臺中市","南屯區"
"追撞","2019",1,6,14,"晴","日間自然光線",40,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","無",47,"未使用",120.623173,24.150062,"臺中市","南屯區"
"其他","2019",1,6,15,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","不良","無號誌","中央分向島","未繪設快慢車道分隔線","有",57,"不明",120.3643,22.65963,"高雄市","鳥松區"
"其他","2019",1,6,15,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","不良","無號誌","中央分向島","未繪設快慢車道分隔線","有",47,"未使用",120.3643,22.65963,"高雄市","鳥松區"
"同向擦撞","2019",1,6,15,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",18,"未使用",121.277834,25.057476,"桃園市","蘆竹區"
"同向擦撞","2019",1,6,15,"陰","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",38,"未使用",121.277834,25.057476,"桃園市","蘆竹區"
"穿越道路中","2019",1,6,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",66,"不明",121.079359,24.724161,"新竹縣","竹東鎮"
"穿越道路中","2019",1,6,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",47,"非汽(機)車駕駛人",121.079359,24.724161,"新竹縣","竹東鎮"
"撞路樹、電桿","2019",1,7,3,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","路肩、路緣","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",22,"不明",120.514799,23.413987,"嘉義縣","中埔鄉"
"撞護欄(樁)","2019",1,7,9,"晴","日間自然光線",50,"彎曲路及附近","路肩、路緣","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",44,"不明",120.093853,23.193591,"臺南市","七股區"
"其他","2019",1,7,13,"晴","日間自然光線",100,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",25,"不明",121.28996,25.032446,"桃園市","蘆竹區"
"其他","2019",1,7,13,"晴","日間自然光線",100,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",47,"未使用",121.28996,25.032446,"桃園市","蘆竹區"
"側撞","2019",1,7,17,"晴","晨或暮光",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","有",44,"未使用",120.279948,23.067928,"臺南市","新市區"
"側撞","2019",1,7,17,"晴","晨或暮光",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","有",40,"未使用",120.279948,23.067928,"臺南市","新市區"
"其他","2019",1,7,22,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",18,"不明",121.453243,25.227272,"新北市","淡水區"
"其他","2019",1,7,22,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",15,"未使用",121.453243,25.227272,"新北市","淡水區"
"其他","2019",1,8,3,"雨","夜間(或隧道、地下道、涵洞)有照明",60,"四岔路","交叉口附近","柏油","濕潤","良好","正常","雙向禁止超車線","快慢車道分隔線","有",34,"未使用",120.832316,24.500857,"苗栗縣","公館鄉"
"其他","2019",1,8,3,"雨","夜間(或隧道、地下道、涵洞)有照明",60,"四岔路","交叉口附近","柏油","濕潤","良好","正常","雙向禁止超車線","快慢車道分隔線","有",42,"未使用",120.832316,24.500857,"苗栗縣","公館鄉"
"路上翻車、摔倒","2019",1,8,7,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",108,"",120.309181,22.761359,"高雄市","橋頭區"
"路上翻車、摔倒","2019",1,8,7,"晴","日間自然光線",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",56,"未使用",120.309181,22.761359,"高雄市","橋頭區"
"追撞","2019",1,8,7,"晴","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",28,"不明",120.444405,23.7574,"雲林縣","西螺鎮"
"追撞","2019",1,8,7,"晴","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",71,"不明",120.444405,23.7574,"雲林縣","西螺鎮"
"同向擦撞","2019",1,8,18,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"圓環","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",22,"未使用",121.549518,25.085487,"臺北市","中山區"
"同向擦撞","2019",1,8,18,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"圓環","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",61,"未使用",121.549518,25.085487,"臺北市","中山區"
"路口交岔撞","2019",1,8,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",64,"不明",120.441645,23.483992,"嘉義市","西區"
"路口交岔撞","2019",1,8,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",23,"未使用",120.441645,23.483992,"嘉義市","西區"
"側撞","2019",1,9,6,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",20,"不明",120.345655,22.700179,"高雄市","仁武區"
"側撞","2019",1,9,6,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",23,"非汽(機)車駕駛人",120.345655,22.700179,"高雄市","仁武區"
"側撞","2019",1,9,6,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",53,"未使用",120.345655,22.700179,"高雄市","仁武區"
"側撞","2019",1,9,7,"晴","日間自然光線",40,"三岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",33,"不明",121.116293,24.897898,"桃園市","楊梅區"
"側撞","2019",1,9,7,"晴","日間自然光線",40,"三岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",28,"未使用",121.116293,24.897898,"桃園市","楊梅區"
"其他","2019",1,9,7,"晴","日間自然光線",50,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",70,"不明",120.231237,22.944605,"臺南市","仁德區"
"其他","2019",1,9,7,"晴","日間自然光線",50,"直路","慢車道","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",67,"未使用",120.231237,22.944605,"臺南市","仁德區"
"追撞","2019",1,9,17,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","行車分向線","快慢車道分隔線","有",65,"不明",120.278326,23.189759,"臺南市","麻豆區"
"追撞","2019",1,9,17,"晴","晨或暮光",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","行車分向線","快慢車道分隔線","有",27,"未使用",120.278326,23.189759,"臺南市","麻豆區"
"追撞","2019",1,9,21,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",41,"未使用",121.524607,25.106269,"臺北市","士林區"
"追撞","2019",1,9,21,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",54,"未使用",121.524607,25.106269,"臺北市","士林區"
"追撞","2019",1,9,21,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",36,"未使用",121.524607,25.106269,"臺北市","士林區"
"對撞","2019",1,9,23,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"四岔路","交叉口附近","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",30,"不明",120.602155,23.926323,"彰化縣","社頭鄉"
"對撞","2019",1,9,23,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"四岔路","交叉口附近","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",30,"非汽(機)車駕駛人",120.602155,23.926323,"彰化縣","社頭鄉"
"對撞","2019",1,9,23,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"四岔路","交叉口附近","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",39,"不明",120.602155,23.926323,"彰化縣","社頭鄉"
"對撞","2019",1,9,23,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"四岔路","交叉口附近","柏油","乾燥","不良","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",41,"非汽(機)車駕駛人",120.602155,23.926323,"彰化縣","社頭鄉"
"路上翻車、摔倒","2019",1,9,23,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"多岔路","交叉路口內","柏油","濕潤","良好","正常","中央分向島","未繪設快慢車道分隔線","有",49,"不明",121.778027,25.102557,"新北市","瑞芳區"
"對撞","2019",1,10,4,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",24,"不明",120.429474,22.59228,"高雄市","大寮區"
"對撞","2019",1,10,4,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","有",32,"未使用",120.429474,22.59228,"高雄市","大寮區"
"同向擦撞","2019",1,10,8,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","無",50,"未使用",121.294426,24.990906,"桃園市","桃園區"
"同向擦撞","2019",1,10,8,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","未繪設快慢車道分隔線","無",34,"未使用",121.294426,24.990906,"桃園市","桃園區"
